time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
98.46355,0.2623,0.9249,0.4292,338.4048,320.0356,27.7108
98.47278,0.2622,0.925,0.4285,338.394,319.8339,27.7436
98.48385,0.2621,0.925,0.4278,338.334,319.6227,27.7376
98.49475,0.2622,0.9252,0.4273,338.3022,319.4581,27.7024
98.50618,0.262,0.9252,0.4268,338.2845,319.357,27.6713
98.51723,0.2619,0.9251,0.4264,338.2999,319.2826,27.6547
98.52853,0.2619,0.9252,0.4263,338.3154,319.3384,27.6235
98.53959,0.2619,0.9252,0.4265,338.3033,319.4369,27.6311
98.55141,0.262,0.9254,0.4263,338.2665,319.4816,27.6518
98.56431,0.2621,0.9256,0.4261,338.2122,319.5032,27.7181
98.57391,0.2623,0.9258,0.426,338.1624,319.5065,27.8135
98.58398,0.2623,0.9259,0.4258,338.1005,319.4848,27.9342
98.59465,0.2622,0.9259,0.4256,338.0484,319.5002,27.9783
98.60566,0.2621,0.9258,0.4255,338.0088,319.5082,28.0308
98.61687,0.2619,0.9256,0.4256,338.043,319.528,28.0054
98.62804,0.2618,0.9255,0.4257,338.0758,319.5613,27.9905
98.63937,0.2615,0.9254,0.426,338.1451,319.6587,27.9739
98.6509,0.2613,0.9252,0.4266,338.2302,319.7905,27.9079
98.66144,0.2612,0.925,0.4271,338.2941,319.8959,27.8236
98.67261,0.261,0.9247,0.428,338.4101,319.9501,27.776
98.68379,0.2609,0.9245,0.4288,338.5181,320.0175,27.7352
98.69484,0.2608,0.9242,0.43,338.6167,320.1031,27.7405
98.70631,0.2607,0.924,0.4314,338.7274,320.2212,27.7264
98.71713,0.2605,0.9239,0.4333,338.9088,320.477,27.6857
98.72812,0.2603,0.9239,0.4353,339.1031,320.8389,27.5963
98.74152,0.2603,0.9239,0.4377,339.2426,321.3331,27.4967
98.75121,0.2602,0.9241,0.4401,339.3437,321.7775,27.3935
98.76128,0.2602,0.9242,0.4426,339.4274,322.2779,27.2182
98.77257,0.2603,0.9245,0.4456,339.5717,322.8794,26.8784
98.78354,0.2604,0.9248,0.4486,339.7685,323.5117,26.4414
98.79484,0.2607,0.9252,0.4519,339.9951,324.1847,25.8646
98.80591,0.2609,0.9255,0.4552,340.2496,324.8541,25.2896
98.81725,0.2612,0.9258,0.4587,340.5593,325.5683,24.7195
98.82821,0.2614,0.926,0.4621,340.8734,326.3184,24.2315
98.83948,0.2615,0.9261,0.4656,341.1443,327.1133,23.8588
98.85032,0.2617,0.9262,0.4688,341.3348,327.8555,23.6064
98.86173,0.2619,0.9262,0.4721,341.5327,328.5024,23.3756
98.87258,0.2622,0.9262,0.4753,341.7392,329.0452,23.1148
98.88358,0.2625,0.9263,0.4784,341.9145,329.5668,22.744
98.89487,0.2629,0.9264,0.4815,342.0798,330.0599,22.2661
98.90646,0.2634,0.9264,0.4846,342.303,330.5622,21.7692
98.9172,0.2638,0.9264,0.4879,342.6756,331.1224,21.2294
98.92855,0.2643,0.9263,0.4912,343.14,331.7612,20.7201
98.93938,0.2647,0.926,0.4946,343.6589,332.486,20.281
98.95071,0.2651,0.9258,0.498,344.1342,333.2314,19.9408
98.96169,0.2656,0.9257,0.5012,344.4868,333.9649,19.6488
98.97282,0.2661,0.9255,0.5041,344.6874,334.6526,19.4458
98.98421,0.2667,0.9254,0.5071,344.8777,335.3013,19.2502
98.99503,0.2672,0.9252,0.51,345.0881,335.8898,19.0213
99.00639,0.2678,0.925,0.5128,345.3653,336.4458,18.7141
99.01774,0.2685,0.9248,0.5157,345.7364,336.9492,18.3426
99.0284,0.2691,0.9247,0.5185,346.2138,337.4734,17.9625
99.03948,0.2698,0.9246,0.5212,346.6545,338.0446,17.6237
99.05051,0.2703,0.9244,0.5238,346.9629,338.6133,17.4032
99.06188,0.2708,0.9243,0.5261,347.1247,339.1152,17.2872
99.07278,0.2712,0.9241,0.5282,347.1995,339.5064,17.2545
99.08668,0.2717,0.9239,0.5302,347.3888,339.784,17.0527
99.09517,0.2723,0.9239,0.5322,347.692,340.0847,16.6138
99.10585,0.2731,0.9239,0.5343,348.1235,340.2456,15.8138
99.117,0.2741,0.9239,0.5363,348.7108,340.2346,14.6317
99.12814,0.2751,0.9239,0.5384,349.3554,340.2171,13.3812
99.13947,0.2762,0.924,0.5404,349.9629,340.2935,12.0401
99.15043,0.2772,0.9241,0.5423,350.4457,340.5201,10.8431
99.16146,0.2782,0.9243,0.5439,350.7944,340.8546,9.8399
99.17286,0.279,0.9244,0.5453,351.037,341.1587,9.0415
99.18389,0.2798,0.9244,0.5466,351.2377,341.3613,8.3583
99.19486,0.2804,0.9243,0.5477,351.4025,341.4842,7.8646
99.20609,0.281,0.9242,0.5489,351.6378,341.6006,7.4609
99.2172,0.2814,0.9239,0.5498,351.8514,341.7058,7.3022
99.22842,0.2818,0.9236,0.5507,352.0066,341.8653,7.2291
