timestamp,log_type,message
28.62385,Exception,InvalidOperationException: Stack empty.
28.63637,Exception,InvalidOperationException: Stack empty.
28.64577,Exception,InvalidOperationException: Stack empty.
28.65744,Exception,InvalidOperationException: Stack empty.
28.6688,Exception,InvalidOperationException: Stack empty.
28.67964,Exception,InvalidOperationException: Stack empty.
28.69055,Exception,InvalidOperationException: Stack empty.
28.70171,Exception,InvalidOperationException: Stack empty.
28.71311,Exception,InvalidOperationException: Stack empty.
28.72412,Exception,InvalidOperationException: Stack empty.
28.73505,Exception,InvalidOperationException: Stack empty.
28.74665,Exception,InvalidOperationException: Stack empty.
28.75746,Exception,InvalidOperationException: Stack empty.
28.76943,Exception,InvalidOperationException: Stack empty.
28.77971,Exception,InvalidOperationException: Stack empty.
28.79147,Exception,InvalidOperationException: Stack empty.
28.80172,Exception,InvalidOperationException: Stack empty.
28.81417,Exception,InvalidOperationException: Stack empty.
28.82448,Exception,InvalidOperationException: Stack empty.
28.83496,Exception,InvalidOperationException: Stack empty.
28.84766,Exception,InvalidOperationException: Stack empty.
28.85749,Exception,InvalidOperationException: Stack empty.
28.86854,Exception,InvalidOperationException: Stack empty.
28.87943,Exception,InvalidOperationException: Stack empty.
28.89061,Exception,InvalidOperationException: Stack empty.
28.90189,Exception,InvalidOperationException: Stack empty.
28.91291,Exception,InvalidOperationException: Stack empty.
28.92396,Exception,InvalidOperationException: Stack empty.
28.93502,Exception,InvalidOperationException: Stack empty.
28.94638,Exception,InvalidOperationException: Stack empty.
28.95743,Exception,InvalidOperationException: Stack empty.
28.96843,Exception,InvalidOperationException: Stack empty.
28.98246,Exception,InvalidOperationException: Stack empty.
28.99264,Exception,InvalidOperationException: Stack empty.
29.00284,Exception,InvalidOperationException: Stack empty.
29.01294,Exception,InvalidOperationException: Stack empty.
29.4,Log,Ding! You put the target in the box!
29.4,Log,Audio Clip Played Pitch: 1.080741
32.31392,Exception,InvalidOperationException: Stack empty.
32.32553,Exception,InvalidOperationException: Stack empty.
32.3362,Exception,InvalidOperationException: Stack empty.
32.34838,Exception,InvalidOperationException: Stack empty.
32.35837,Exception,InvalidOperationException: Stack empty.
32.36976,Exception,InvalidOperationException: Stack empty.
32.38153,Exception,InvalidOperationException: Stack empty.
32.39258,Exception,InvalidOperationException: Stack empty.
32.40313,Exception,InvalidOperationException: Stack empty.
32.4149,Exception,InvalidOperationException: Stack empty.
32.42508,Exception,InvalidOperationException: Stack empty.
32.43602,Exception,InvalidOperationException: Stack empty.
32.44818,Exception,InvalidOperationException: Stack empty.
32.45837,Exception,InvalidOperationException: Stack empty.
32.46919,Exception,InvalidOperationException: Stack empty.
32.48014,Exception,InvalidOperationException: Stack empty.
32.49154,Exception,InvalidOperationException: Stack empty.
32.50238,Exception,InvalidOperationException: Stack empty.
32.51381,Exception,InvalidOperationException: Stack empty.
32.5249,Exception,InvalidOperationException: Stack empty.
32.53608,Exception,InvalidOperationException: Stack empty.
32.5473,Exception,InvalidOperationException: Stack empty.
32.5581,Exception,InvalidOperationException: Stack empty.
32.56939,Exception,InvalidOperationException: Stack empty.
32.58046,Exception,InvalidOperationException: Stack empty.
32.59168,Exception,InvalidOperationException: Stack empty.
32.60295,Exception,InvalidOperationException: Stack empty.
32.61338,Exception,InvalidOperationException: Stack empty.
32.62486,Exception,InvalidOperationException: Stack empty.
32.6358,Exception,InvalidOperationException: Stack empty.
32.64725,Exception,InvalidOperationException: Stack empty.
32.6589,Exception,InvalidOperationException: Stack empty.
32.6701,Exception,InvalidOperationException: Stack empty.
32.68148,Exception,InvalidOperationException: Stack empty.
32.69153,Exception,InvalidOperationException: Stack empty.
32.70263,Exception,InvalidOperationException: Stack empty.
32.71399,Exception,InvalidOperationException: Stack empty.
32.72499,Exception,InvalidOperationException: Stack empty.
32.73628,Exception,InvalidOperationException: Stack empty.
32.74703,Exception,InvalidOperationException: Stack empty.
32.7584,Exception,InvalidOperationException: Stack empty.
32.76938,Exception,InvalidOperationException: Stack empty.
32.78053,Exception,InvalidOperationException: Stack empty.
32.7912,Exception,InvalidOperationException: Stack empty.
32.80396,Exception,InvalidOperationException: Stack empty.
32.8137,Exception,InvalidOperationException: Stack empty.
32.82486,Exception,InvalidOperationException: Stack empty.
32.83643,Exception,InvalidOperationException: Stack empty.
32.8469,Exception,InvalidOperationException: Stack empty.
32.8581,Exception,InvalidOperationException: Stack empty.
32.87024,Exception,InvalidOperationException: Stack empty.
32.88093,Exception,InvalidOperationException: Stack empty.
32.89145,Exception,InvalidOperationException: Stack empty.
32.90253,Exception,InvalidOperationException: Stack empty.
32.91393,Exception,InvalidOperationException: Stack empty.
32.92458,Exception,InvalidOperationException: Stack empty.
32.93744,Exception,InvalidOperationException: Stack empty.
32.94909,Exception,InvalidOperationException: Stack empty.
32.95879,Exception,InvalidOperationException: Stack empty.
32.96951,Exception,InvalidOperationException: Stack empty.
32.98198,Exception,InvalidOperationException: Stack empty.
32.99159,Exception,InvalidOperationException: Stack empty.
33.00241,Exception,InvalidOperationException: Stack empty.
33.01356,Exception,InvalidOperationException: Stack empty.
33.0245,Exception,InvalidOperationException: Stack empty.
33.03567,Exception,InvalidOperationException: Stack empty.
33.0472,Exception,InvalidOperationException: Stack empty.
33.05805,Exception,InvalidOperationException: Stack empty.
33.07018,Exception,InvalidOperationException: Stack empty.
33.08125,Exception,InvalidOperationException: Stack empty.
33.09148,Exception,InvalidOperationException: Stack empty.
33.10252,Exception,InvalidOperationException: Stack empty.
33.11354,Exception,InvalidOperationException: Stack empty.
33.12529,Exception,InvalidOperationException: Stack empty.
33.13572,Exception,InvalidOperationException: Stack empty.
33.14792,Exception,InvalidOperationException: Stack empty.
33.1582,Exception,InvalidOperationException: Stack empty.
33.16932,Exception,InvalidOperationException: Stack empty.
33.18074,Exception,InvalidOperationException: Stack empty.
33.19176,Exception,InvalidOperationException: Stack empty.
33.20278,Exception,InvalidOperationException: Stack empty.
33.21431,Exception,InvalidOperationException: Stack empty.
33.22519,Exception,InvalidOperationException: Stack empty.
33.23605,Exception,InvalidOperationException: Stack empty.
33.2472,Exception,InvalidOperationException: Stack empty.
33.25809,Exception,InvalidOperationException: Stack empty.
33.26911,Exception,InvalidOperationException: Stack empty.
33.28035,Exception,InvalidOperationException: Stack empty.
33.29337,Exception,InvalidOperationException: Stack empty.
33.30376,Exception,InvalidOperationException: Stack empty.
33.31405,Exception,InvalidOperationException: Stack empty.
33.32482,Exception,InvalidOperationException: Stack empty.
33.33602,Exception,InvalidOperationException: Stack empty.
33.34713,Exception,InvalidOperationException: Stack empty.
33.35829,Exception,InvalidOperationException: Stack empty.
33.36956,Exception,InvalidOperationException: Stack empty.
33.38074,Exception,InvalidOperationException: Stack empty.
33.39163,Exception,InvalidOperationException: Stack empty.
33.40653,Exception,InvalidOperationException: Stack empty.
33.41541,Exception,InvalidOperationException: Stack empty.
33.42601,Exception,InvalidOperationException: Stack empty.
33.43701,Exception,InvalidOperationException: Stack empty.
33.44801,Exception,InvalidOperationException: Stack empty.
33.45934,Exception,InvalidOperationException: Stack empty.
33.46995,Exception,InvalidOperationException: Stack empty.
33.48135,Exception,InvalidOperationException: Stack empty.
33.49302,Exception,InvalidOperationException: Stack empty.
33.82,Log,Ding! You put the target in the box!
33.82,Log,Audio Clip Played Pitch: 0.8681823
37.08101,Exception,InvalidOperationException: Stack empty.
37.09205,Exception,InvalidOperationException: Stack empty.
37.10355,Exception,InvalidOperationException: Stack empty.
37.11434,Exception,InvalidOperationException: Stack empty.
37.12528,Exception,InvalidOperationException: Stack empty.
37.13637,Exception,InvalidOperationException: Stack empty.
37.14806,Exception,InvalidOperationException: Stack empty.
37.15875,Exception,InvalidOperationException: Stack empty.
37.1695,Exception,InvalidOperationException: Stack empty.
37.18087,Exception,InvalidOperationException: Stack empty.
37.19363,Exception,InvalidOperationException: Stack empty.
37.20435,Exception,InvalidOperationException: Stack empty.
37.21547,Exception,InvalidOperationException: Stack empty.
37.2255,Exception,InvalidOperationException: Stack empty.
37.2365,Exception,InvalidOperationException: Stack empty.
37.24719,Exception,InvalidOperationException: Stack empty.
37.25851,Exception,InvalidOperationException: Stack empty.
37.26968,Exception,InvalidOperationException: Stack empty.
37.28051,Exception,InvalidOperationException: Stack empty.
37.29182,Exception,InvalidOperationException: Stack empty.
37.30296,Exception,InvalidOperationException: Stack empty.
37.31419,Exception,InvalidOperationException: Stack empty.
37.32521,Exception,InvalidOperationException: Stack empty.
37.33645,Exception,InvalidOperationException: Stack empty.
37.34775,Exception,InvalidOperationException: Stack empty.
37.3587,Exception,InvalidOperationException: Stack empty.
37.36974,Exception,InvalidOperationException: Stack empty.
37.38103,Exception,InvalidOperationException: Stack empty.
37.39317,Exception,InvalidOperationException: Stack empty.
37.4033,Exception,InvalidOperationException: Stack empty.
37.4145,Exception,InvalidOperationException: Stack empty.
37.42498,Exception,InvalidOperationException: Stack empty.
37.43627,Exception,InvalidOperationException: Stack empty.
37.45569,Exception,InvalidOperationException: Stack empty.
37.46491,Exception,InvalidOperationException: Stack empty.
37.47325,Exception,InvalidOperationException: Stack empty.
37.48136,Exception,InvalidOperationException: Stack empty.
37.49294,Exception,InvalidOperationException: Stack empty.
37.50431,Exception,InvalidOperationException: Stack empty.
37.51502,Exception,InvalidOperationException: Stack empty.
37.52601,Exception,InvalidOperationException: Stack empty.
37.53683,Exception,InvalidOperationException: Stack empty.
37.54809,Exception,InvalidOperationException: Stack empty.
37.55917,Exception,InvalidOperationException: Stack empty.
37.5699,Exception,InvalidOperationException: Stack empty.
37.58097,Exception,InvalidOperationException: Stack empty.
37.59217,Exception,InvalidOperationException: Stack empty.
37.60397,Exception,InvalidOperationException: Stack empty.
37.61413,Exception,InvalidOperationException: Stack empty.
37.62494,Exception,InvalidOperationException: Stack empty.
37.63648,Exception,InvalidOperationException: Stack empty.
37.64708,Exception,InvalidOperationException: Stack empty.
37.65869,Exception,InvalidOperationException: Stack empty.
37.86,Log,Ding! You put the target in the box!
37.86,Log,Audio Clip Played Pitch: 1.24906
40.14765,Log,this is a clamped trial
40.15907,Log,this is a clamped trial
40.17012,Log,this is a clamped trial
40.18166,Log,this is a clamped trial
40.1916,Log,this is a clamped trial
40.20268,Log,this is a clamped trial
40.21436,Log,this is a clamped trial
40.22531,Log,this is a clamped trial
40.23617,Log,this is a clamped trial
40.24735,Log,this is a clamped trial
40.25881,Log,this is a clamped trial
40.27163,Log,this is a clamped trial
40.28136,Log,this is a clamped trial
40.29207,Log,this is a clamped trial
40.30267,Log,this is a clamped trial
40.31462,Log,this is a clamped trial
40.32497,Log,this is a clamped trial
40.33617,Log,this is a clamped trial
40.3477,Log,this is a clamped trial
40.35807,Log,this is a clamped trial
40.36943,Log,this is a clamped trial
40.38041,Log,this is a clamped trial
40.39146,Log,this is a clamped trial
40.40284,Log,this is a clamped trial
40.41436,Log,this is a clamped trial
40.42478,Log,this is a clamped trial
40.43604,Log,this is a clamped trial
40.44791,Log,this is a clamped trial
40.45819,Log,this is a clamped trial
40.46978,Log,this is a clamped trial
40.48204,Log,this is a clamped trial
40.49194,Log,this is a clamped trial
40.50264,Log,this is a clamped trial
40.51389,Log,this is a clamped trial
40.52588,Log,this is a clamped trial
40.53629,Log,this is a clamped trial
40.54785,Log,this is a clamped trial
40.55881,Log,this is a clamped trial
40.56973,Log,this is a clamped trial
40.58077,Log,this is a clamped trial
40.59204,Log,this is a clamped trial
40.60342,Log,this is a clamped trial
40.61406,Log,this is a clamped trial
40.62523,Log,this is a clamped trial
40.63625,Log,this is a clamped trial
40.64787,Log,this is a clamped trial
40.65872,Log,this is a clamped trial
40.66967,Log,this is a clamped trial
40.68039,Log,this is a clamped trial
40.69263,Log,this is a clamped trial
40.70311,Log,this is a clamped trial
40.71408,Log,this is a clamped trial
40.72507,Log,this is a clamped trial
40.73607,Log,this is a clamped trial
40.74728,Log,this is a clamped trial
40.77003,Log,this is a clamped trial
40.77003,Exception,InvalidOperationException: Stack empty.
40.78172,Exception,InvalidOperationException: Stack empty.
40.79314,Exception,InvalidOperationException: Stack empty.
40.80365,Exception,InvalidOperationException: Stack empty.
40.81454,Exception,InvalidOperationException: Stack empty.
40.82569,Exception,InvalidOperationException: Stack empty.
40.83618,Exception,InvalidOperationException: Stack empty.
40.84733,Exception,InvalidOperationException: Stack empty.
40.85843,Exception,InvalidOperationException: Stack empty.
40.86967,Exception,InvalidOperationException: Stack empty.
40.88073,Exception,InvalidOperationException: Stack empty.
40.89293,Exception,InvalidOperationException: Stack empty.
40.90382,Exception,InvalidOperationException: Stack empty.
40.91416,Exception,InvalidOperationException: Stack empty.
40.9254,Exception,InvalidOperationException: Stack empty.
40.93726,Exception,InvalidOperationException: Stack empty.
40.94826,Exception,InvalidOperationException: Stack empty.
40.95879,Exception,InvalidOperationException: Stack empty.
40.96988,Exception,InvalidOperationException: Stack empty.
40.98086,Exception,InvalidOperationException: Stack empty.
40.99141,Exception,InvalidOperationException: Stack empty.
41.00282,Exception,InvalidOperationException: Stack empty.
41.01388,Exception,InvalidOperationException: Stack empty.
41.02512,Exception,InvalidOperationException: Stack empty.
41.03641,Exception,InvalidOperationException: Stack empty.
41.04712,Exception,InvalidOperationException: Stack empty.
41.05856,Exception,InvalidOperationException: Stack empty.
41.06978,Exception,InvalidOperationException: Stack empty.
41.08104,Exception,InvalidOperationException: Stack empty.
41.09265,Exception,InvalidOperationException: Stack empty.
41.10346,Exception,InvalidOperationException: Stack empty.
41.11403,Exception,InvalidOperationException: Stack empty.
41.1249,Exception,InvalidOperationException: Stack empty.
41.52,Log,Ding! You put the target in the box!
41.52,Log,Audio Clip Played Pitch: 1.25585
43.5807,Log,this is a clamped trial
43.59273,Log,this is a clamped trial
43.60389,Log,this is a clamped trial
43.61406,Log,this is a clamped trial
43.62476,Log,this is a clamped trial
43.63604,Log,this is a clamped trial
43.64804,Log,this is a clamped trial
43.65841,Log,this is a clamped trial
43.66993,Log,this is a clamped trial
43.68035,Log,this is a clamped trial
43.69138,Log,this is a clamped trial
43.70278,Log,this is a clamped trial
43.71373,Log,this is a clamped trial
43.725,Log,this is a clamped trial
43.73652,Log,this is a clamped trial
43.74755,Log,this is a clamped trial
43.75848,Log,this is a clamped trial
43.77046,Log,this is a clamped trial
43.78119,Log,this is a clamped trial
43.79139,Log,this is a clamped trial
43.80501,Log,this is a clamped trial
43.81367,Log,this is a clamped trial
43.82479,Log,this is a clamped trial
43.83587,Log,this is a clamped trial
43.84715,Log,this is a clamped trial
43.85863,Log,this is a clamped trial
43.86956,Log,this is a clamped trial
43.88067,Log,this is a clamped trial
43.89172,Log,this is a clamped trial
43.90319,Log,this is a clamped trial
43.91368,Log,this is a clamped trial
43.92537,Log,this is a clamped trial
43.93659,Log,this is a clamped trial
43.94726,Log,this is a clamped trial
43.95866,Log,this is a clamped trial
43.97068,Log,this is a clamped trial
43.98096,Log,this is a clamped trial
43.99241,Log,this is a clamped trial
44.00246,Log,this is a clamped trial
44.01377,Log,this is a clamped trial
44.02478,Log,this is a clamped trial
44.03685,Log,this is a clamped trial
44.04751,Log,this is a clamped trial
44.05838,Log,this is a clamped trial
44.06994,Log,this is a clamped trial
44.0806,Log,this is a clamped trial
44.09177,Log,this is a clamped trial
44.10295,Log,this is a clamped trial
44.11381,Log,this is a clamped trial
44.12509,Log,this is a clamped trial
44.13657,Log,this is a clamped trial
44.14773,Log,this is a clamped trial
44.15876,Log,this is a clamped trial
44.1711,Log,this is a clamped trial
44.18078,Log,this is a clamped trial
44.19189,Log,this is a clamped trial
44.20327,Log,this is a clamped trial
44.2141,Log,this is a clamped trial
44.22546,Log,this is a clamped trial
44.23671,Log,this is a clamped trial
44.24905,Log,this is a clamped trial
44.36,Log,Ding! You put the target in the box!
44.36,Log,Audio Clip Played Pitch: 0.501501
44.36,Log,Ding! You put the target in the box!
44.36,Log,Audio Clip Played Pitch: 0.9569818
46.4031,Log,this is a clamped trial
46.41515,Log,this is a clamped trial
46.42517,Log,this is a clamped trial
46.43606,Log,this is a clamped trial
46.44692,Log,this is a clamped trial
46.45826,Log,this is a clamped trial
46.46941,Log,this is a clamped trial
46.48072,Log,this is a clamped trial
46.49166,Log,this is a clamped trial
46.50242,Log,this is a clamped trial
46.51352,Log,this is a clamped trial
46.52496,Log,this is a clamped trial
46.53582,Log,this is a clamped trial
46.54792,Log,this is a clamped trial
46.55928,Log,this is a clamped trial
46.57075,Log,this is a clamped trial
46.5806,Log,this is a clamped trial
46.59155,Log,this is a clamped trial
46.60288,Log,this is a clamped trial
46.61356,Log,this is a clamped trial
46.62592,Log,this is a clamped trial
46.63664,Log,this is a clamped trial
46.64759,Log,this is a clamped trial
46.6582,Log,this is a clamped trial
46.66936,Log,this is a clamped trial
46.68068,Log,this is a clamped trial
46.69146,Log,this is a clamped trial
46.70313,Log,this is a clamped trial
46.71471,Log,this is a clamped trial
46.72499,Log,this is a clamped trial
46.73605,Log,this is a clamped trial
46.74725,Log,this is a clamped trial
46.75849,Log,this is a clamped trial
